state,x,y
Andhra Pradesh,-62.0,-180.0
Arunachal Pradesh,238.0,100.0
Assam,185.0,55.0
Bihar,66.0,40.0
Chhattisgarh,-11.0,-39.0
Goa,-165.0,-167.0
Gujarat,-209.0,-8.0
Haryana,-115.0,110.0
Himachal Pradesh,-99.0,170.0
Jharkhand,51.0,2.0
Karnataka,-135.0,-195.0
Kerala,-130.0,-261.0
Madhya Pradesh,-86.0,-20.0
Maharashtra,-135.0,-81.0
Manipur,255.0,15.0
Meghalaya,150.0,30.0
Mizoram,226.0,-20.0
Nagaland,255.0,50.0
Odisha,42.0,-70.0
Punjab,-140.0,147.0
Rajasthan,-175.0,60.0
Sikkim,117.0,92.0
Tamil Nadu,-75.0,-275.0
Telangana,-60.0,-115.0
Tripura,167.0,-7.0
Uttar Pradesh,-20.0,55.0
Uttarakhand,-45.0,140.0
West Bengal,110.0,-30.0
